opened,closed,symbol,address,entry_usd,exit_usd,size_usd,pnl_usd,pnl_pct,reason,hold_min,mode,rules,source,launchpad,age_min,liq,mcap,holders,smart,renowned,bundler,snipers,top10,buys,sells,list_price,peak_pct,trough_pct,hour_utc
2026-09-22T15:01:24.000Z,2026-09-22T15:02:04.072Z,"SENSEI",0x7279f6c1ef9ded78a9dccebb1ee6dd545c537777,0.0000329060,0.0000513290,20,10.90,56.0,take_profit,0.7,paper,v1.1,rank,"flap",3.9,17780,31218,80,5,3,0.189,8,0.208,214,95,0.0000312180,60.8,-16.6,15
2026-09-22T15:12:32.000Z,2026-09-22T15:13:46.240Z,"蚂蚁",0x7c1520d83e333771a0c2e9c5bbf50e9679c37777,0.0000163959,0.00000999358,20,-8.11,-39.0,stop_loss,1.2,paper,v1.1,rank,"flap",9.9,8739,15654,49,2,2,0.024,8,0.298,72,38,0.0000156544,-2.9,-37.2,15
2026-09-22T15:17:44.000Z,2026-09-22T15:19:28.786Z,"SI",0x2ea99d68f393a253d9393301a2c8b5892f067777,0.0000771674,0.000129131,20,13.17,67.3,take_profit,1.7,paper,v1.1,rank,"flap",2.3,26505,71850,375,24,3,0.174,2,0.227,681,554,0.0000718495,72.5,-6.3,15
2026-09-22T14:31:08.000Z,2026-09-22T15:28:38.137Z,"CATTO",0x8e7307bee5200a0d6ae4dde971383db19b277777,0.0000261408,0.0000176538,20,-6.79,-32.5,stop_loss,57.5,paper,,,"",,,,,,,,,,,,,51.7,-30.4,
2026-09-22T15:34:23.000Z,2026-09-22T15:34:58.061Z,"AI",0xd827f413a62c9e5fb690a6c1530db75123f57777,0.0000193714,0.0000322275,20,12.97,66.4,take_profit,0.6,paper,v1.1,rank,"flap",9.2,10195,18551,71,3,0,0.138,5,0.269,91,30,0.0000185509,71.5,-2.9,15
2026-09-22T15:37:55.000Z,2026-09-22T15:41:30.114Z,"超级天柴",0xdcb27321adf03fffcb662e0aa94a0bc32d4231f0,0.0000986393,0.0000613141,20,-7.87,-37.8,stop_loss,3.6,paper,v1.1,rank,"geniusfun",2.2,28993,93647,303,19,12,0.136,5,0.150,416,345,0.0000957377,25.5,-35.9,15
2026-09-22T15:43:50.000Z,2026-09-22T15:44:55.382Z,"超级智能",0xf57ce768be37e27e28077e4b1f15800c0521c5eb,0.0000617556,0.0000427103,20,-6.47,-30.8,stop_loss,1.1,paper,v1.1,rank,"geniusfun",2.0,23057,59744,325,19,10,0.137,7,0.165,611,467,0.0000604627,10.9,-28.7,15
2026-09-22T15:47:20.000Z,2026-09-22T15:47:32.795Z,"智脑",0x1cc291ec9e4e0a855d10b240e814ada7babf7777,0.0000153037,0.00000858616,20,-9.08,-43.9,stop_loss,0.2,paper,v1.1,rank,"flap",2.0,9743,16520,81,2,3,0.148,0,0.295,128,104,0.0000165196,-2.9,-42.2,15
2026-09-22T16:07:35.000Z,2026-09-22T16:08:08.810Z,"SI",0xd7ffe20289cd973f0855b8a3daaaaf04e53b6666,0.0000194814,0.0000105341,20,-9.49,-45.9,stop_loss,0.6,paper,v1.1,rank,"geniusfun",5.7,9435,18872,77,3,2,0.104,0,0.169,124,54,0.0000189078,-2.9,-44.3,16
2026-09-22T16:10:23.000Z,2026-09-22T16:10:47.183Z,"necessary",0x66c23e9eb33967d336c44738ac30861d85387777,0.0000184588,0.0000326715,20,15.10,77.0,take_profit,0.4,paper,v1.1,rank,"flap",2.0,9763,17535,92,6,5,0.292,12,0.243,225,170,0.0000175346,82.5,-2.9,16
2026-09-22T16:36:10.000Z,2026-09-22T16:36:34.261Z,"8STOCK",0x44db16d01750a0a9ea3796eb3f1cddd30ba67777,0.0000154996,0.0000101507,20,-7.20,-34.5,stop_loss,0.4,paper,v1.1,rank,"flap",2.3,9146,16402,114,1,5,0.177,6,0.232,156,92,0.0000164016,-2.9,-32.5,16
2026-09-22T16:44:27.000Z,2026-09-22T16:49:04.641Z,"青蛙",0x1e27bcee1510b0776c31dd6fa41559f3edf17777,0.0000206961,0.0000147933,20,-6.00,-28.5,stop_loss,4.6,paper,v1.1,rank,"flap",12.6,10316,19667,63,2,7,0.033,5,0.221,69,15,0.0000196665,7.6,-26.3,16
2026-09-22T17:00:10.000Z,2026-09-22T17:06:51.302Z,"MARSCZ",0x5072c1d70c393c8736c987eb2ec78bab04077777,0.000111817,0.000178291,20,11.59,59.4,take_profit,6.7,paper,v1.1,trenches,"flap",6.1,33438,108079,821,2,0,0.272,0,0.283,1670,731,0.000108079,64.4,-23.5,17
2026-09-22T17:56:18.000Z,2026-09-22T17:59:41.165Z,"sPL.001",0xaf2309879893200ec06a18ceb51004ff5c9e7777,0.000180359,0.000129163,20,-5.98,-28.4,stop_loss,3.4,paper,v1.1,rank,"flap",23.7,40217,166711,841,41,7,0.233,3,0.203,173,134,0.000166711,14.3,-26.2,17
2026-09-22T18:42:56.000Z,2026-09-22T18:44:38.322Z,"sPL.001",0x0e8cec53bc405924d292cb0e5d1e53f3f6d97777,0.0000177620,0.00000940040,20,-9.72,-47.1,stop_loss,1.7,paper,v1.1,rank,"flap",2.5,9366,16821,58,2,3,0.229,0,0.300,85,42,0.0000168205,13.0,-45.4,18
2026-09-22T19:10:36.000Z,2026-09-22T19:12:36.846Z,"蚂蚁",0x0d1626c24943a4239265041a263200809c127777,0.0000527307,0.0000677076,20,5.38,28.4,trailing,2.0,paper,v1.1,rank,"flap",4.9,20898,51195,284,7,6,0.162,3,0.178,422,350,0.0000511948,56.8,-6.2,19
2026-09-22T19:29:18.000Z,2026-09-22T19:33:01.575Z,"OPAI",0xa980aea6c36cfccf9ff9cdac288f8e9c82077777,0.0000367710,0.0000574881,20,10.97,56.3,take_profit,3.7,paper,v1.1,rank,"flap",5.4,21945,37519,45,3,0,0.159,3,0.241,54,7,0.0000375191,61.2,-24.0,19
